No_Doc;Fecha;Articulo;Cliente;Cant;Precio;Total
1498;02/05/2010;NOCHE HABITACIÓN 01;;1;69;73,83
1498;02/05/2010;NOCHE HABITACION 06;Cliente Ficticio;1;69;73,83
1498;02/05/2010;NOCHE HABITACION 14;Cliente Ficticio;1;69;73,83
1498;02/05/2010;NOCHE HABITACION 04;Cliente Ficticio;1;69;73,83
1498;02/05/2010;ABONADO A CUENTA;Cliente Ficticio;1;-79;-79
1499;02/05/2010;NOCHE HABITACIÓN 01;Cliente Ficticio;1;69;73,83
1499;02/05/2010;RESTAURANTE;Cliente Ficticio;1;30,5;30,5
1499;02/05/2010;CAFETERIA;Cliente Ficticio;1;3,5;3,5
1500;09/05/2010;NOCHE HABITACION 03;Cliente Ficticio;1;89;95,23
1501;09/05/2010;NOCHE HABITACION 05 CON SUPLETORIA;Cliente Ficticio;1;85;90,95
1501;09/05/2010;RESTAURANTE;Cliente Ficticio;1;105,19;105,19
1502;09/05/2010;NOCHE HABITACION 09;Cliente Ficticio;1;89;105,93
1502;09/05/2010;NOCHE HABITACION 12;Cliente Ficticio;1;89;95,23
1503;09/05/2010;NOCHE HABITACION 13;Cliente Ficticio;1;89;95,23
1503;09/05/2010;NOCHE HABITACION 14;Cliente Ficticio;1;69;73,83
1503;09/05/2010;SUPLETORIA;Cliente Ficticio;1;15;16,05
1504;09/05/2010;NOCHE HABITACION 07;Cliente Ficticio;1;69;73,83
1505;09/05/2010;NOCHE HABITACION 11;Cliente Ficticio;1;89;95,23
1505;09/05/2010;SUPLETORIA;Cliente Ficticio;1;15;16,05
1506;09/05/2010;NOCHE HABITACION 06;Cliente Ficticio;1;69;73,83
1506;09/05/2010;ABONADO A CUENTA;Cliente Ficticio;1;-100;-100
1507;09/05/2010;NOCHE HABITACIÓN 01;Cliente Ficticio;1;69;73,83
1507;09/05/2010;ABONADO A CUENTA;Cliente Ficticio;1;-50;-50
1508;12/05/2010;RESTAURANTE;Cliente Ficticio;1;21,19;21,19
1508;12/05/2010;RESTAURANTE;Cliente Ficticio;1;25,47;25,47
1508;12/05/2010;NOCHE HABITACION 06;Cliente Ficticio;1;69;73,83
1509;12/05/2010;RESTAURANTE;Cliente Ficticio;;18;385,2
1509;12/05/2010;RESTAURANTE CONDUCTOR;Cliente Ficticio;1;20;0
1509;12/05/2010;ABONADO A CUENTA;Cliente Ficticio;1;-100;-100
1510;14/05/2010;NOCHE HABITACIÓN 01;Cliente Ficticio;2;55;117,7
1510;14/05/2010;NOCHE HABITACION 06;Cliente Ficticio;2;55;117,7
1510;14/05/2010;NOCHE HABITACION 07;Cliente Ficticio;2;55;117,7
1510;14/05/2010;NOCHE HABITACION 13;Cliente Ficticio;2;55;117,7
1511;14/05/2010;NOCHE HABITACION 14;Cliente Ficticio;1;69;73,83
1512;15/05/2010;NOCHE HABITACION 09;Cliente Ficticio;1;89;95,23
1513;16/05/2010;NOCHE HABITACION 02;Cliente Ficticio;2;89;190,46
1514;16/05/2010;NOCHE HABITACION 08;Cliente Ficticio;2;79;169,06
1515;16/05/2010;NOCHE HABITACION 05;Cliente Ficticio;1;79;84,53
1516;17/05/2010;NOCHE HABITACION 12;Cliente Ficticio;3;69;221,49
1516;17/05/2010;ABONADO A CUENTA;Cliente Ficticio;1;-75;-75
1517;17/05/2010;NOCHE HABITACION 12;Cliente Ficticio;3;69;221,49
1518;17/05/2010;NOCHE HABITACIÓN 01;Cliente Ficticio;1;55;58,85
1518;17/05/2010;NOCHE HABITACION 06;Cliente Ficticio;1;55;58,85
1518;17/05/2010;NOCHE HABITACION 13;Cliente Ficticio;1;55;58,85
1518;17/05/2010;NOCHE HABITACION 15;Cliente Ficticio;1;55;58,85
1519;18/05/2010;RESTAURANTE;Cliente Ficticio;1;54;54
1520;22/05/2010;NOCHE HABITACION 05;Cliente Ficticio;1;79;84,53
1520;22/05/2010;RESTAURANTE;Cliente Ficticio;1;81,43;81,43
1520;22/05/2010;RESTAURANTE;Cliente Ficticio;1;69,98;69,98
1520;22/05/2010;CAFETERIA;Cliente Ficticio;1;2,5;2,68
1521;25/05/2010;NOCHE HABITACION 02;Cliente Ficticio;1;60;64,2
1522;25/05/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;7,06;7,06
1522;25/05/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;5,35;5,35
1522;25/05/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;7,06;7,06
1522;25/05/2010;NOCHE HABITACION 04 MP;Cliente Ficticio;5;80;428
1523;26/05/2010;NOCHE HABITACION 02;Cliente Ficticio;2;79;169,06
1524;30/05/2010;NOCHE HABITACION 03 MP;Cliente Ficticio;4;40;171,2
1524;30/05/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;12,84;12,84
1524;30/05/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;12,84;12,84
1525;03/06/2010;NOCHE HABITACIÓN 01;Cliente Ficticio;1;45;48,15
1525;03/06/2010;RESTAURANTE;Cliente Ficticio;1;28,35;28,35
1526;03/06/2010;NOCHE HABITACION 03;Cliente Ficticio;1;69;73,83
1526;03/06/2010;RESTAURANTE;Cliente Ficticio;1;26,76;26,76
1526;03/06/2010;RESTAURANTE;Cliente Ficticio;1;70,3;70,3
1527;06/06/2010;NOCHE HABITACION 04 MP;Cliente Ficticio;2;50;107
1527;06/06/2010;NOCHE HABITACION 05 MP;Cliente Ficticio;6;40;256,8
1527;06/06/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;12,95;12,95
1527;06/06/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;2,68;2,68
1527;06/06/2010;RESTAURANTE;Cliente Ficticio;1;42,16;42,16
1527;06/06/2010;RESTAURANTE;Cliente Ficticio;1;75,33;75,33
1527;06/06/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;11,88;11,88
1528;06/06/2010;NOCHE HABITACION 02 MP;Cliente Ficticio;4;40;171,2
1528;06/06/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;5,35;5,35
1528;06/06/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;5,35;5,35
1528;06/06/2010;CAFETERIA;Cliente Ficticio;1;4;4
1529;06/06/2010;NOCHE HABITACION 09 MP;Cliente Ficticio;1;129;138,03
1529;06/06/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;5,46;5,46
1529;06/06/2010;CAFETERIA;Cliente Ficticio;1;4;4
1530;06/06/2010;NOCHE HABITACION 03 MP;Cliente Ficticio;1;140;149,8
1530;06/06/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;14,55;14,55
1530;06/06/2010;CAFETERIA;Cliente Ficticio;1;10;10
1531;06/06/2010;NOCHE HABITACION 06 USO INDIVIDUAL;Cliente Ficticio;1;45;48,15
1531;06/06/2010;DESAYUNO;Cliente Ficticio;1;6;6,42
1532;08/06/2010;NOCHE HABITACION 15;Cliente Ficticio;2;40;85,6
1533;09/06/2010;NOCHE HABITACION 06;Cliente Ficticio;2;40;85,6
1534;09/06/2010;NOCHE HABITACIÓN 01;Cliente Ficticio;2;40;85,6
1535;11/06/2010;NOCHE HABITACION 04;Cliente Ficticio;1;69;73,83
1536;12/06/2010;NOCHE HABITACION 13 MP;Cliente Ficticio;1;150;160,5
1536;12/06/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;2,68;2,68
1536;12/06/2010;RESTAURANTE;Cliente Ficticio;1;68,28;68,28
1537;12/06/2010;NOCHE HABITACION 05 MP;Cliente Ficticio;4;40;171,2
1537;12/06/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;15,09;15,09
1537;12/06/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;8,24;8,24
1538;12/06/2010;NOCHE HABITACION 06 MP;Cliente Ficticio;4;40;160
1538;12/06/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;2,68;2,68
1538;12/06/2010;RESTAURANTE;Cliente Ficticio;1;5,46;5,46
1539;13/06/2010;NOCHE HABITACION 06;Cliente Ficticio;2;46,8;100,15
1539;13/06/2010;NOCHE HABITACION 07;Cliente Ficticio;2;46,8;100,15
1540;16/06/2010;NOCHE HABITACIÓN 01;Cliente Ficticio;2;46,8;100,15
1540;16/06/2010;NOCHE HABITACION 15;Cliente Ficticio;2;46,8;100,15
1541;18/06/2010;NOCHE HABITACION 13 MP;Cliente Ficticio;6;40;256,8
1541;18/06/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;19,9;19,9
1542;18/06/2010;NOCHE HABITACIÓN 01;Cliente Ficticio;1;50;53,5
1543;19/06/2010;NOCHE HABITACION 02 MP;Cliente Ficticio;2;40;85,6
1543;19/06/2010;NOCHE HABITACION 02 MP;Cliente Ficticio;1;80;85,6
1543;19/06/2010;RESTAURANTE;Cliente Ficticio;1;48,58;48,58
1543;19/06/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;5,36;5,36
1544;20/06/2010;NOCHE HABITACION 08;Cliente Ficticio;4;40;171,2
1544;20/06/2010;RESTAURANTE BEIDA CENA;Cliente Ficticio;1;15,42;15,42
1544;20/06/2010;CAFETERIA;Cliente Ficticio;1;5;5
1545;20/06/2010;NOCHE HABITACION 12 MP;Cliente Ficticio;4;35;140
1545;20/06/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;16,49;16,49
1546;20/06/2010;NOCHE HABITACIÓNES;Cliente Ficticio;1;379,85;379,85
1546;20/06/2010;CAVA;Cliente Ficticio;2;18;36
1546;20/06/2010;CAFETERIA;Cliente Ficticio;1;96,4;96,4
1547;20/06/2010;NOCHE HABITACION 04 MP;Cliente Ficticio;6;40;256,8
1547;20/06/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;20,44;20,44
1547;20/06/2010;CAFETERIA;Cliente Ficticio;1;3;3
1548;25/06/2010;NOCHE HABITACION 13;Cliente Ficticio;1;69;73,83
1549;26/06/2010;NOCHE HABITACION 14;Cliente Ficticio;1;69;73,83
1550;26/06/2010;NOCHE HABITACION 15;Cliente Ficticio;1;50;53,5
1551;27/06/2010;NOCHE HABITACION 04 MP;Cliente Ficticio;6;40;256,8
1551;27/06/2010;RESTAURANTE BEBIDA;Cliente Ficticio;1;9,1;9,1
1552;27/06/2010;NOCHE HABITACION 09 MP;Cliente Ficticio;4;40;171,2
1552;27/06/2010;SUPLETORIA MP;Cliente Ficticio;4;20;85,6
1552;27/06/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;5,48;5,48
1553;27/06/2010;NOCHE HABITACION 03 MP;Cliente Ficticio;4;40;171,2
1553;27/06/2010;SUPLETORIA MP;Cliente Ficticio;4;25;107
1553;27/06/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;6,35;6,35
1554;27/06/2010;NOCHE HABITACION 11MP;Cliente Ficticio;4;40;171,2
1554;27/06/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;6,35;6,35
1555;27/06/2010;NOCHE HABITACION 07 MP;Cliente Ficticio;2;40;85,6
1555;27/06/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;6,35;6,35
1556;27/06/2010;NOCHE HABITACION 02 MP;Cliente Ficticio;4;40;171,2
1556;27/06/2010;SUPLETORIA MP;Cliente Ficticio;4;25;107
1556;27/06/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;6,35;6,35
1557;27/06/2010;NOCHE HABITACIÓN 01MP;Cliente Ficticio;4;40;171,2
1557;27/06/2010;SUPLETORIA MP;Cliente Ficticio;2;25;53,5
1557;27/06/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;6,35;6,35
1552;27/06/2010;ABONADO A CUENTA;Cliente Ficticio;1;-150;-150
1558;27/06/2010;NOCHE HABITACION 08;Cliente Ficticio;4;40;171,2
1559;27/06/2010;NOCHE HABITACION 12 MP;Cliente Ficticio;4;40;171,2
1560;27/06/2010;NOCHE HABITACION 05 MP;Cliente Ficticio;4;40;171,2
1560;27/06/2010;NOCHE HABITACION 06 MP;Cliente Ficticio;4;40;171,2
1560;27/06/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;22,4;22,4
1561;27/06/2010;NOCHE HABITACION 14;Cliente Ficticio;1;69;73,83
1562;27/06/2010;NOCHE HABITACION 13;Cliente Ficticio;1;79;84,53
1566;01/07/2010;NOCHE HABITACIÓN 01MP;Cliente Ficticio;4;40;171,2
1566;01/07/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;17,98;17,98
1567;03/07/2010;NOCHE HABITACION 09 MP;Cliente Ficticio;6;40;259,2
1567;03/07/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;30,41;30,41
1567;03/07/2010;CAFETERIA;Cliente Ficticio;1;7;7,49
1568;03/07/2010;NOCHE HABITACION 03 MP;Cliente Ficticio;2;150;321
1568;03/07/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;40,07;40,07
1568;03/07/2010;ABONADO A CUENTA;Cliente Ficticio;1;-100;-100
1569;03/07/2010;NOCHE HABITACION 02 MP;Cliente Ficticio;4;40;172,8
1569;03/07/2010;SUPLETORIA MP;Cliente Ficticio;4;25;108
1569;03/07/2010;CUNA;Cliente Ficticio;2;10;21,6
1569;03/07/2010;RESTAURANTE BEBIDA CENA;Cliente Ficticio;1;51,74;51,74
1570;03/07/2010;NOCHE HABITACION 06;Cliente Ficticio;1;69;74,52
1570;03/07/2010;CAFETERIA;Cliente Ficticio;1;4;4
1568;03/07/2010;RESTAURANTE;Cliente Ficticio;1;95,23;95,23
1571;04/07/2010;NOCHE HABITACION 08;Cliente Ficticio;1;69;74,52
